date,country,confirmed,deaths,recovered
2020-01-22,World,555,17,28
2020-01-23,World,654,18,30
2020-01-24,World,941,26,36
2020-01-25,World,1434,42,39
2020-01-26,World,2118,56,52
2020-01-27,World,2927,82,61
2020-01-28,World,5578,131,107
2020-01-29,World,6166,133,126
2020-01-30,World,8234,171,143
2020-01-31,World,9927,213,222
2020-02-10,World,42627,1013,3946
2020-02-11,World,44667,1113,4683
2020-02-12,World,45046,1118,5150
2020-02-13,World,60193,1371,6295
2020-02-14,World,66667,1523,8058
2020-02-15,World,68745,1666,9395
2020-02-16,World,70869,1770,10865
2020-02-17,World,72804,1868,12583
2020-02-18,World,74594,2007,14352
2020-02-19,World,75018,2122,16120
2020-02-20,World,75563,2245,18176
2020-02-21,World,76185,2249,18889
2020-02-22,World,77938,2456,22885
2020-02-23,World,78267,2466,23394
2020-02-24,World,78870,2626,25227
2020-02-25,World,79715,2705,27905
2020-02-26,World,80683,2766,30374
2020-02-27,World,82041,2810,33267
2020-02-28,World,83407,2866,36701
2020-02-29,World,85306,2935,39772
2020-03-10,World,117888,4256,64364
2020-03-11,World,125139,4608,66678
2020-03-12,World,127616,4713,67999
2020-03-13,World,144468,5397,69926
2020-03-14,World,155360,5812,72299
2020-03-15,World,166710,6433,75709
2020-03-16,World,180830,7119,77763
2020-03-17,World,196357,7898,80515
2020-03-18,World,214068,8726,82987
2020-03-19,World,241744,9860,84650
2020-03-20,World,271276,11292,87078
2020-03-21,World,303636,12965,91350
2020-03-22,World,336189,14643,97557
2020-03-23,World,377463,16497,98009
2020-03-24,World,417271,18615,107659
